frame,time_sec,zone,occupancy
1,0.04,Entrance,0
1,0.04,Checkout,0
1,0.04,Aisle_Left,0
1,0.04,Aisle_Right,0
2,0.08,Entrance,0
2,0.08,Checkout,0
2,0.08,Aisle_Left,0
2,0.08,Aisle_Right,0
3,0.12,Entrance,12
3,0.12,Checkout,13
3,0.12,Aisle_Left,3
3,0.12,Aisle_Right,3
4,0.16,Entrance,13
4,0.16,Checkout,13
4,0.16,Aisle_Left,3
4,0.16,Aisle_Right,4
5,0.2,Entrance,13
5,0.2,Checkout,13
5,0.2,Aisle_Left,3
5,0.2,Aisle_Right,4
6,0.24,Entrance,13
6,0.24,Checkout,13
6,0.24,Aisle_Left,4
6,0.24,Aisle_Right,4
7,0.28,Entrance,14
7,0.28,Checkout,13
7,0.28,Aisle_Left,5
7,0.28,Aisle_Right,4
8,0.32,Entrance,14
8,0.32,Checkout,13
8,0.32,Aisle_Left,5
8,0.32,Aisle_Right,4
9,0.36,Entrance,15
9,0.36,Checkout,13
9,0.36,Aisle_Left,5
9,0.36,Aisle_Right,5
10,0.4,Entrance,15
10,0.4,Checkout,14
10,0.4,Aisle_Left,5
10,0.4,Aisle_Right,5
11,0.44,Entrance,15
11,0.44,Checkout,15
11,0.44,Aisle_Left,5
11,0.44,Aisle_Right,5
12,0.48,Entrance,15
12,0.48,Checkout,15
12,0.48,Aisle_Left,5
12,0.48,Aisle_Right,5
13,0.52,Entrance,15
13,0.52,Checkout,15
13,0.52,Aisle_Left,5
13,0.52,Aisle_Right,5
14,0.56,Entrance,15
14,0.56,Checkout,15
14,0.56,Aisle_Left,5
14,0.56,Aisle_Right,5
15,0.6,Entrance,15
15,0.6,Checkout,16
15,0.6,Aisle_Left,5
15,0.6,Aisle_Right,5
16,0.64,Entrance,15
16,0.64,Checkout,16
16,0.64,Aisle_Left,5
16,0.64,Aisle_Right,5
17,0.68,Entrance,15
17,0.68,Checkout,18
17,0.68,Aisle_Left,5
17,0.68,Aisle_Right,5
18,0.72,Entrance,15
18,0.72,Checkout,18
18,0.72,Aisle_Left,6
18,0.72,Aisle_Right,5
